order_id,customer_id,seller_id,order_date,ship_date,delivery_date,status
104,210,19,2023-03-17,,,delivered
105,38,15,2024-04-22,2024-04-28,,delivered
106,283,19,2023-07-06,2023-07-09,2023-07-10,delivered
107,266,5,2023-11-08,,,delivered
108,364,8,2023-12-21,2023-12-30,2024-01-01,shipped
109,326,18,2023-10-09,,,delivered
110,274,3,2024-05-29,2024-06-08,2024-06-11,paid
111,320,20,2023-12-12,2023-12-22,,cancelled
112,42,2,2025-08-29,2025-09-08,2025-09-12,delivered
113,214,20,2024-10-16,,,cancelled
114,280,10,2024-10-19,2024-10-27,2024-11-03,shipped
115,38,2,2023-06-11,2023-06-19,2023-06-25,delivered
116,161,11,2025-01-21,2025-01-27,2025-01-30,delivered
117,264,18,2023-04-19,2023-04-27,,delivered
118,73,4,2023-02-21,2023-02-28,2023-03-07,shipped
119,444,6,2025-04-13,2025-04-23,2025-04-27,delivered
120,256,17,2024-04-23,2024-04-28,2024-04-30,cancelled
121,259,15,2025-09-16,2025-09-26,2025-09-27,shipped
122,306,16,2023-10-20,2023-11-03,,paid
123,136,12,2025-02-21,2025-02-22,2025-03-04,delivered
124,186,18,2023-10-23,,,delivered
125,392,18,2023-10-14,2023-10-24,2023-10-26,paid
126,50,13,2024-01-18,2024-01-24,2024-01-30,delivered
127,102,20,2024-06-05,2024-06-06,,paid
128,171,16,2024-06-15,2024-06-25,2024-06-28,delivered
129,314,11,2023-06-16,2023-06-26,2023-07-01,delivered
130,260,17,2024-06-29,2024-07-09,2024-07-10,delivered
131,345,4,2024-03-02,2024-03-15,2024-03-16,delivered
132,136,19,2024-08-14,2024-08-15,2024-08-18,delivered
133,370,20,2025-03-04,2025-03-07,2025-03-11,created
134,486,4,2023-07-15,,,delivered
135,78,14,2024-12-08,2024-12-17,2024-12-25,cancelled
136,377,2,2024-12-23,,,shipped
137,167,16,2024-06-22,2024-06-25,2024-07-04,delivered
138,182,9,2024-09-16,2024-09-20,2024-09-25,shipped
139,499,10,2025-02-28,2025-03-04,2025-03-12,delivered
140,179,18,2025-08-14,2025-08-26,2025-08-28,delivered
141,279,13,2025-07-06,2025-07-20,2025-07-23,shipped
142,148,3,2023-12-21,2024-01-01,2024-01-09,shipped
143,424,18,2023-10-05,2023-10-17,2023-10-19,delivered
144,301,8,2023-09-06,,,cancelled
145,116,8,2023-02-23,,,delivered
146,242,4,2024-11-28,2024-11-29,2024-12-02,delivered
147,479,16,2024-05-03,2024-05-16,2024-05-22,shipped
148,31,3,2024-10-29,2024-11-07,2024-11-08,cancelled
149,90,14,2025-06-22,2025-06-23,2025-06-30,delivered
150,96,10,2025-06-16,,,shipped
151,309,4,2025-08-08,2025-08-13,2025-08-22,delivered
152,456,5,2025-05-21,2025-05-26,2025-05-28,delivered
153,375,15,2024-10-25,2024-10-28,,delivered
154,152,19,2024-11-21,2024-11-24,2024-12-01,delivered
155,264,11,2023-03-30,2023-04-01,2023-04-04,delivered
156,480,8,2023-01-07,2023-01-11,2023-01-16,returned
157,155,19,2025-01-10,2025-01-15,2025-01-19,paid
158,61,15,2023-11-11,,,delivered
159,473,10,2024-12-07,,,cancelled
160,152,12,2024-09-21,2024-09-24,2024-10-02,delivered
161,311,12,2024-03-01,2024-03-09,2024-03-13,delivered
162,349,20,2025-06-13,2025-06-22,2025-06-28,paid
163,289,4,2023-03-05,2023-03-14,2023-03-23,paid
164,168,17,2024-03-28,,,shipped
165,299,16,2023-04-04,2023-04-12,2023-04-20,paid
166,213,15,2024-07-31,,,delivered
167,414,10,2025-01-10,,,shipped
168,2,7,2024-08-15,,,delivered
169,359,3,2024-07-08,2024-07-10,2024-07-18,created
170,210,6,2025-02-26,,,delivered
171,374,14,2024-01-19,2024-01-26,2024-02-02,delivered
172,350,18,2023-05-17,2023-05-23,,returned
173,202,17,2023-05-11,2023-05-15,2023-05-16,returned
174,238,18,2024-03-10,2024-03-24,2024-04-01,delivered
175,142,7,2025-08-17,2025-08-30,,delivered
176,215,20,2025-02-23,2025-02-24,2025-02-26,paid
177,18,15,2024-09-04,2024-09-18,,delivered
178,206,15,2023-08-28,2023-09-10,2023-09-11,paid
179,149,8,2025-04-15,2025-04-25,2025-05-05,delivered
180,420,11,2023-08-31,2023-09-03,2023-09-12,shipped
181,154,9,2023-03-04,2023-03-14,2023-03-17,delivered
182,219,18,2024-05-22,,,delivered
183,330,13,2025-03-15,2025-03-27,2025-03-30,shipped
184,95,18,2024-04-29,2024-05-03,2024-05-06,delivered
185,469,2,2024-07-29,2024-08-05,2024-08-08,delivered
186,131,7,2023-12-05,2023-12-13,2023-12-15,delivered
187,425,7,2023-02-22,2023-03-05,2023-03-06,cancelled
188,97,19,2025-01-11,2025-01-15,2025-01-21,delivered
189,466,1,2023-08-05,2023-08-17,,returned
190,246,8,2024-12-13,2024-12-17,2024-12-21,delivered
191,398,10,2024-01-25,2024-02-05,2024-02-10,delivered
192,452,16,2024-04-22,,,returned
193,241,11,2025-07-25,2025-07-31,2025-08-10,cancelled
194,380,5,2023-01-17,2023-01-27,2023-02-03,shipped
195,101,11,2023-08-24,2023-09-07,2023-09-16,delivered
196,351,11,2023-09-21,2023-09-29,2023-10-07,delivered
197,376,12,2023-06-23,,,delivered
198,95,18,2024-10-19,2024-10-28,,delivered
199,484,2,2025-02-21,,,paid
200,323,8,2023-03-11,2023-03-12,2023-03-20,delivered
201,317,20,2025-07-23,2025-07-31,,delivered
202,211,1,2023-01-18,2023-01-23,2023-01-28,created
203,417,14,2025-04-05,2025-04-08,,paid
204,77,8,2023-07-16,2023-07-21,2023-07-26,delivered
205,41,12,2025-09-09,2025-09-19,2025-09-23,shipped
206,424,3,2024-10-31,2024-11-11,2024-11-13,delivered
207,194,18,2024-05-02,,,created
208,88,3,2024-05-26,2024-06-06,2024-06-16,returned
209,499,4,2025-07-05,2025-07-06,2025-07-16,delivered
210,24,3,2024-12-01,2024-12-10,2024-12-11,paid
211,436,11,2023-01-17,2023-01-27,,delivered
212,421,13,2025-08-09,,,paid
213,124,19,2025-05-04,2025-05-15,2025-05-21,delivered
214,379,5,2025-03-20,2025-04-01,,delivered
215,178,2,2023-04-11,2023-04-25,,delivered
216,315,20,2024-02-11,2024-02-17,,shipped
217,231,16,2023-08-22,2023-08-29,2023-09-08,delivered
218,44,20,2023-10-30,2023-11-11,,shipped
219,195,5,2025-01-27,2025-02-02,,created
220,158,15,2024-01-04,2024-01-06,,paid
221,230,18,2024-07-22,2024-07-24,,delivered
222,48,20,2024-09-04,2024-09-18,2024-09-23,delivered
223,399,3,2025-01-12,2025-01-16,2025-01-19,delivered
224,87,5,2023-10-03,2023-10-11,,paid
225,142,14,2023-11-03,2023-11-05,2023-11-09,delivered
226,254,20,2024-09-23,,,paid
227,156,1,2025-08-29,2025-09-12,2025-09-18,delivered
228,221,20,2023-05-20,2023-05-30,2023-06-03,delivered
229,91,13,2025-09-18,2025-09-30,2025-10-08,returned
230,401,8,2023-11-30,2023-12-14,2023-12-20,paid
231,289,7,2024-08-29,2024-09-01,2024-09-10,created
232,373,15,2025-08-23,2025-08-31,2025-09-02,delivered
233,408,14,2024-11-20,2024-12-01,2024-12-06,delivered
234,367,14,2025-03-19,2025-03-27,2025-04-04,delivered
235,274,17,2025-08-03,2025-08-15,2025-08-16,delivered
236,185,18,2024-08-31,2024-09-02,,shipped
237,341,12,2023-06-20,2023-06-21,2023-06-28,returned
238,170,14,2023-04-19,,,shipped
239,262,17,2024-07-25,2024-08-04,2024-08-10,delivered
240,396,19,2024-12-08,2024-12-14,2024-12-22,paid
241,213,3,2023-04-29,2023-05-11,,delivered
242,234,7,2024-06-17,2024-06-25,,delivered
243,232,11,2023-03-10,2023-03-23,2023-03-24,delivered
244,332,4,2024-11-24,2024-12-06,2024-12-09,delivered
245,170,18,2024-03-12,2024-03-16,2024-03-19,paid
246,337,14,2024-02-10,,,delivered
247,102,15,2024-08-29,2024-08-30,2024-09-03,shipped
248,361,3,2024-08-14,,,cancelled
249,96,12,2023-11-30,,,paid
250,344,16,2024-06-24,2024-06-30,2024-07-10,delivered
251,59,12,2023-12-27,2024-01-06,2024-01-11,cancelled
252,303,3,2024-11-19,,,paid
253,157,4,2023-07-07,2023-07-10,2023-07-17,delivered
254,295,13,2024-03-09,,,delivered
255,356,6,2024-07-22,,,shipped
256,96,11,2025-05-12,2025-05-13,2025-05-14,delivered
257,100,13,2025-09-13,2025-09-24,2025-10-02,delivered
258,431,15,2024-05-15,,,delivered
259,408,8,2023-10-27,,,shipped
260,148,6,2025-03-10,2025-03-22,2025-03-30,delivered
261,58,19,2023-04-27,2023-05-06,2023-05-12,delivered
262,388,2,2025-02-17,2025-02-26,2025-03-05,paid
263,425,8,2023-11-01,2023-11-02,2023-11-08,cancelled
264,45,15,2025-06-05,2025-06-18,2025-06-22,delivered
265,302,12,2025-05-31,2025-06-11,2025-06-21,paid
266,106,7,2025-04-04,,,delivered
267,144,20,2024-07-05,,,returned
268,150,10,2024-08-09,2024-08-23,2024-08-25,paid
269,385,14,2025-07-29,,,shipped
270,336,5,2024-12-19,2024-12-23,,delivered
271,127,13,2024-05-16,,,delivered
272,322,14,2024-01-20,2024-01-31,2024-02-02,delivered
273,384,9,2024-12-12,2024-12-18,2024-12-26,delivered
274,2,3,2025-01-18,2025-01-29,2025-02-04,cancelled
275,408,18,2024-02-12,2024-02-19,2024-02-27,shipped
276,425,10,2023-12-12,2023-12-15,2023-12-23,delivered
277,458,2,2023-02-17,,,delivered
278,236,1,2023-05-08,2023-05-11,2023-05-12,returned
279,220,7,2024-12-06,2024-12-17,2024-12-22,paid
280,185,9,2023-03-26,2023-04-06,2023-04-13,delivered
281,372,8,2024-03-15,2024-03-27,,shipped
282,40,5,2024-08-30,2024-09-10,2024-09-11,delivered
283,419,4,2025-05-30,2025-06-02,2025-06-06,delivered
284,375,4,2023-04-16,2023-04-21,,delivered
285,386,5,2024-10-18,2024-10-21,,delivered
286,313,6,2024-03-26,2024-03-30,2024-04-02,cancelled
287,316,15,2025-05-30,2025-06-01,,paid
288,374,13,2023-12-26,2024-01-01,2024-01-05,shipped
289,44,8,2024-07-20,2024-08-01,2024-08-02,delivered
290,338,10,2023-07-30,2023-08-08,2023-08-15,shipped
291,28,8,2024-05-21,2024-05-25,2024-06-04,paid
292,456,1,2024-01-05,2024-01-08,2024-01-18,delivered
293,280,6,2025-02-20,2025-03-05,,delivered
294,8,9,2023-08-09,,,paid
295,405,13,2024-06-02,2024-06-14,2024-06-21,delivered
296,206,3,2024-10-17,2024-10-27,2024-10-29,delivered
297,262,7,2025-09-24,2025-10-03,2025-10-13,delivered
298,428,3,2023-11-14,2023-11-26,2023-11-30,paid
299,45,14,2023-04-29,2023-05-09,,delivered
300,337,6,2023-05-03,,,paid
301,6,6,2024-05-23,2024-06-01,2024-06-06,paid
302,65,9,2025-01-20,2025-02-02,2025-02-08,delivered
303,140,17,2023-03-07,2023-03-17,2023-03-25,delivered
304,185,2,2024-05-26,2024-05-29,2024-06-03,delivered
305,458,19,2024-11-21,2024-11-25,2024-11-26,created
306,442,1,2023-09-08,,,delivered
307,472,5,2023-07-03,2023-07-17,,delivered
308,366,14,2023-08-18,2023-08-25,2023-08-31,shipped
309,40,19,2024-01-17,,,delivered
310,27,6,2023-08-17,2023-08-18,2023-08-20,cancelled
311,444,10,2025-03-03,2025-03-09,,delivered
312,189,7,2023-10-26,2023-10-31,2023-11-04,delivered
313,303,16,2025-03-02,2025-03-14,2025-03-18,paid
314,478,14,2023-01-25,2023-01-31,2023-02-01,returned
315,1,13,2025-05-19,2025-05-24,,delivered
316,122,14,2024-05-18,2024-05-21,2024-05-23,created
317,119,17,2024-02-27,2024-03-04,2024-03-06,delivered
318,259,5,2024-10-14,2024-10-16,2024-10-17,delivered
319,494,5,2023-08-31,2023-09-14,2023-09-21,delivered
320,377,11,2023-11-22,2023-11-26,,shipped
321,400,19,2023-04-22,,,paid
322,239,11,2024-02-21,,,delivered
323,395,7,2024-04-07,2024-04-12,2024-04-14,paid
324,352,10,2025-04-26,2025-05-06,,delivered
325,168,5,2023-04-04,2023-04-10,2023-04-11,delivered
326,134,6,2023-02-01,2023-02-15,2023-02-24,shipped
327,237,4,2025-04-03,2025-04-05,,delivered
328,114,5,2023-07-22,2023-07-28,2023-07-30,delivered
329,133,3,2023-01-23,2023-01-27,2023-02-04,delivered
330,48,11,2023-05-06,,,delivered
331,87,19,2024-03-19,2024-03-26,2024-04-02,delivered
332,89,12,2023-08-08,2023-08-13,2023-08-16,created
333,318,20,2023-09-09,2023-09-17,2023-09-26,delivered
334,45,9,2024-01-28,,,paid
335,453,17,2023-09-13,2023-09-26,2023-09-27,returned
336,401,12,2024-05-06,2024-05-14,2024-05-24,delivered
337,199,9,2023-07-04,,,delivered
338,16,9,2023-03-01,2023-03-09,2023-03-19,returned
339,499,6,2023-04-13,2023-04-17,2023-04-18,delivered
340,486,8,2024-08-12,2024-08-25,2024-08-28,paid
341,304,11,2025-04-05,2025-04-11,2025-04-12,delivered
342,181,19,2024-07-31,,,cancelled
343,429,16,2024-07-09,2024-07-17,,paid
344,309,8,2023-01-21,2023-01-22,2023-02-01,shipped
345,67,11,2025-01-04,,,delivered
346,445,11,2023-03-02,,,delivered
347,470,5,2025-03-03,,,delivered
348,187,3,2024-01-18,2024-01-29,2024-01-31,delivered
349,166,5,2025-09-26,,,cancelled
350,406,16,2024-10-26,2024-11-07,2024-11-17,delivered
351,115,19,2025-04-14,,,delivered
352,353,10,2023-05-11,,,created
353,360,19,2024-02-05,2024-02-18,2024-02-19,paid
354,163,20,2023-08-15,2023-08-17,2023-08-20,delivered
355,40,8,2023-12-22,2023-12-25,2023-12-27,delivered
356,344,11,2024-04-02,,,shipped
357,355,3,2023-12-25,2023-12-27,2023-12-28,delivered
358,376,14,2025-09-19,,,delivered
359,452,13,2023-12-26,2023-12-28,2024-01-07,delivered
360,352,8,2023-06-16,2023-06-29,2023-07-04,created
361,134,4,2023-03-17,2023-03-24,2023-03-26,delivered
362,460,3,2023-12-13,2023-12-23,2023-12-24,delivered
363,335,6,2024-09-13,2024-09-16,,delivered
364,499,7,2024-02-24,2024-03-07,2024-03-16,shipped
365,145,10,2023-09-01,,,delivered
366,282,16,2023-06-07,,,created
367,45,10,2025-04-23,2025-05-03,2025-05-05,created
368,88,10,2023-03-25,2023-03-27,2023-04-03,delivered
369,459,9,2023-04-04,2023-04-11,2023-04-18,delivered
370,229,2,2023-09-27,2023-10-02,2023-10-07,delivered
371,78,4,2023-03-29,2023-04-11,2023-04-21,shipped
372,32,13,2025-04-18,2025-04-27,2025-05-05,delivered
373,121,16,2023-11-03,,,cancelled
374,366,2,2024-05-29,2024-06-07,2024-06-17,paid
375,487,15,2023-06-27,2023-06-30,2023-07-04,paid
376,217,3,2024-11-30,2024-12-14,2024-12-24,shipped
377,467,3,2023-03-31,2023-04-07,2023-04-12,delivered
378,470,1,2025-03-16,2025-03-26,2025-04-02,paid
379,77,5,2024-08-03,2024-08-16,2024-08-18,cancelled
380,289,4,2025-03-15,2025-03-24,2025-03-31,shipped
381,336,16,2024-08-08,2024-08-09,2024-08-16,paid
382,312,13,2023-02-09,2023-02-15,2023-02-16,delivered
383,472,9,2025-07-07,2025-07-13,2025-07-18,delivered
384,432,16,2025-05-28,2025-05-30,2025-06-03,paid
385,499,15,2025-03-03,2025-03-08,2025-03-18,delivered
386,97,15,2023-08-05,2023-08-12,2023-08-21,cancelled
387,421,2,2024-06-11,2024-06-13,2024-06-22,delivered
388,400,17,2025-06-19,2025-06-22,2025-06-26,delivered
389,128,2,2024-04-12,,,delivered
390,102,9,2024-01-13,2024-01-22,2024-01-24,delivered
391,124,12,2024-05-15,2024-05-18,2024-05-26,delivered
392,180,12,2023-06-17,2023-06-22,2023-06-24,shipped
393,198,2,2023-06-16,2023-06-29,2023-07-03,delivered
394,347,7,2023-10-03,2023-10-12,,delivered
395,393,1,2024-04-30,2024-05-11,2024-05-12,shipped
396,312,10,2024-12-30,2025-01-10,2025-01-17,cancelled
397,236,9,2023-08-12,2023-08-23,2023-09-02,delivered
398,53,1,2024-06-07,2024-06-21,2024-06-30,delivered
399,312,10,2023-11-02,2023-11-10,,returned
400,328,11,2025-06-01,2025-06-12,2025-06-17,paid
401,265,8,2025-07-10,,,cancelled
402,415,20,2024-02-18,2024-02-29,,created
403,255,10,2023-09-23,2023-09-30,2023-10-01,delivered
404,293,7,2023-12-18,2023-12-22,2023-12-30,cancelled
405,344,12,2024-06-03,2024-06-06,2024-06-15,paid
406,50,16,2023-05-12,2023-05-24,2023-05-27,cancelled
407,461,11,2024-11-01,,,delivered
408,382,10,2024-03-06,2024-03-12,2024-03-22,shipped
409,436,4,2024-04-26,,,delivered
410,298,20,2023-03-14,2023-03-18,2023-03-25,delivered
411,212,2,2025-06-10,2025-06-13,2025-06-19,delivered
412,292,15,2023-05-27,2023-06-08,2023-06-10,delivered
413,324,6,2023-11-17,2023-11-18,2023-11-22,delivered
414,87,19,2025-02-21,,,delivered
415,400,3,2023-05-13,2023-05-24,2023-05-31,returned
416,197,1,2023-02-08,2023-02-20,2023-02-21,cancelled
417,388,17,2023-07-15,,,created
418,376,8,2023-08-20,2023-08-26,2023-08-28,delivered
419,302,10,2023-06-21,,,created
420,486,10,2024-04-11,2024-04-21,2024-04-28,cancelled
421,69,11,2025-07-12,2025-07-25,2025-08-01,created
422,115,5,2023-08-05,2023-08-15,2023-08-17,delivered
423,334,2,2024-01-20,2024-01-25,2024-02-04,created
424,25,4,2024-10-31,2024-11-01,2024-11-08,delivered
425,64,18,2023-09-16,2023-09-19,2023-09-20,delivered
426,339,4,2024-11-09,2024-11-19,2024-11-22,delivered
427,461,4,2024-06-07,2024-06-09,2024-06-11,delivered
428,312,7,2025-03-07,2025-03-16,2025-03-22,delivered
429,152,6,2023-02-10,2023-02-14,2023-02-22,delivered
430,2,1,2024-11-18,,,paid
431,294,16,2023-06-02,2023-06-15,2023-06-17,cancelled
432,330,8,2024-04-12,2024-04-17,2024-04-18,paid
433,90,2,2025-05-22,2025-06-04,2025-06-11,delivered
434,49,2,2023-01-10,2023-01-21,2023-01-27,delivered
435,225,20,2023-10-02,2023-10-04,2023-10-10,paid
436,206,13,2025-09-12,2025-09-26,2025-10-04,delivered
437,333,6,2023-04-26,,,delivered
438,483,6,2023-04-17,2023-04-27,2023-05-07,delivered
439,93,20,2024-01-24,2024-02-03,,delivered
440,430,5,2024-05-09,2024-05-11,2024-05-19,created
441,134,11,2023-01-13,2023-01-24,2023-02-03,delivered
442,115,11,2024-06-15,2024-06-27,2024-07-04,delivered
443,128,16,2023-12-21,2024-01-01,2024-01-10,cancelled
444,314,2,2023-01-12,2023-01-15,2023-01-23,cancelled
445,446,6,2023-03-18,2023-03-24,2023-03-29,paid
446,115,18,2024-10-20,2024-11-03,2024-11-11,delivered
447,294,15,2023-04-01,2023-04-09,2023-04-17,delivered
448,10,4,2024-02-18,2024-02-27,2024-02-29,delivered
449,494,20,2024-10-14,2024-10-23,2024-10-31,returned
450,187,2,2025-04-16,2025-04-24,2025-05-04,delivered
451,367,12,2025-01-03,2025-01-05,2025-01-09,created
452,182,10,2024-07-14,2024-07-26,,cancelled
453,253,5,2025-04-21,2025-05-03,2025-05-08,delivered
454,97,4,2025-08-10,2025-08-14,2025-08-18,delivered
455,56,14,2023-02-17,2023-03-03,2023-03-05,delivered
456,231,15,2024-11-05,2024-11-14,,delivered
457,272,2,2024-07-20,2024-08-03,2024-08-12,delivered
458,467,6,2024-12-09,2024-12-21,2024-12-23,delivered
459,308,20,2025-06-22,2025-06-29,2025-07-09,cancelled
460,391,8,2023-10-08,2023-10-14,2023-10-22,delivered
461,71,14,2024-09-08,2024-09-20,2024-09-29,cancelled
462,365,18,2024-10-09,2024-10-13,2024-10-18,delivered
463,472,5,2024-12-28,2024-12-31,2025-01-06,delivered
464,390,12,2024-07-29,2024-08-08,2024-08-15,delivered
465,458,18,2023-10-20,2023-10-27,2023-11-05,paid
466,196,5,2023-02-24,2023-02-28,2023-03-03,returned
467,350,9,2023-05-30,2023-06-11,2023-06-15,delivered
468,17,12,2025-04-13,2025-04-23,2025-05-02,cancelled
469,381,18,2024-02-03,2024-02-16,2024-02-21,delivered
470,25,13,2024-02-01,2024-02-14,2024-02-20,returned
471,28,1,2025-01-31,2025-02-10,2025-02-18,delivered
472,467,12,2025-02-12,2025-02-24,2025-02-28,shipped
473,91,3,2023-07-11,2023-07-23,2023-07-30,created
474,143,18,2023-09-28,,,delivered
475,131,1,2023-12-05,2023-12-08,,cancelled
476,306,2,2025-03-03,2025-03-13,2025-03-18,delivered
477,294,18,2024-01-02,,,delivered
478,270,8,2025-09-06,,,paid
479,259,6,2024-03-01,2024-03-08,,shipped
480,110,11,2023-12-06,2023-12-10,2023-12-20,delivered
481,288,1,2023-04-28,2023-05-06,2023-05-16,cancelled
482,125,2,2024-11-29,2024-12-06,2024-12-08,delivered
483,277,10,2023-01-26,2023-02-09,2023-02-18,delivered
484,229,16,2023-02-14,2023-02-25,2023-03-06,paid
485,50,6,2025-09-21,2025-09-30,2025-10-02,shipped
486,323,7,2025-06-04,2025-06-18,,delivered
487,360,14,2024-10-24,2024-10-26,2024-10-29,created
488,368,11,2023-02-08,,,paid
489,407,9,2024-07-25,,,delivered
490,467,9,2024-02-22,2024-03-04,2024-03-10,created
491,345,4,2024-07-01,,,delivered
492,33,19,2023-02-16,2023-02-18,2023-02-27,paid
493,403,10,2024-09-13,,,delivered
494,225,13,2024-02-09,2024-02-10,2024-02-19,shipped
495,383,13,2025-03-26,2025-04-04,2025-04-07,shipped
496,455,12,2025-09-07,2025-09-16,2025-09-19,paid
497,3,19,2024-09-02,2024-09-11,2024-09-16,shipped
498,380,12,2023-08-05,2023-08-16,2023-08-19,paid
499,114,20,2025-05-04,2025-05-06,2025-05-16,cancelled
500,436,18,2024-04-17,2024-04-19,2024-04-21,shipped
501,102,19,2024-05-13,2024-05-19,,delivered
